Time,tp,tp_unit
202507131940,0.027635,m
202507131945,0.027984,m
202507131950,0.028332,m
202507131955,0.028681,m
202507132000,0.02903,m
202507132005,0.029414,m
202507132010,0.029798,m
202507132015,0.030182,m
202507132020,0.030567,m
202507132025,0.030951,m
202507132030,0.031335,m
202507132035,0.031719,m
202507132040,0.032103,m
202507132045,0.032488,m
202507132050,0.032872,m
202507132055,0.033256,m
202507132100,0.03364,m
202507132105,0.034004,m
202507132110,0.034368,m
202507132115,0.034732,m
202507132120,0.035096,m
202507132125,0.03546,m
202507132130,0.035824,m
202507132135,0.036188,m
202507132140,0.036552,m
202507132145,0.036916,m
202507132150,0.03728,m
202507132155,0.037644,m
202507132200,0.038008,m
202507132205,0.038119,m
202507132210,0.03823,m
202507132215,0.038341,m
202507132220,0.038452,m
202507132225,0.038563,m
202507132230,0.038674,m
202507132235,0.038785,m
202507132240,0.038896,m
202507132245,0.039007,m
202507132250,0.039118,m
202507132255,0.039229,m
202507132300,0.039341,m
202507132305,0.039349,m
202507132310,0.039358,m
202507132315,0.039367,m
202507132320,0.039376,m
202507132325,0.039384,m
202507132330,0.039393,m
202507132335,0.039402,m
202507132340,0.039411,m
202507132345,0.039419,m
202507132350,0.039428,m
202507132355,0.039437,m
202507140000,0.039446,m
202507140005,0.036161,m
202507140010,0.032876,m
202507140015,0.029591,m
202507140020,0.026306,m
202507140025,0.023021,m
202507140030,0.019736,m
202507140035,0.016451,m
202507140040,0.013166,m
202507140045,0.009882,m
202507140050,0.006597,m
202507140055,0.003312,m
202507140100,2.7e-05,m
202507140105,3.1e-05,m
202507140110,3.5e-05,m
202507140115,3.9e-05,m
202507140120,4.3e-05,m
202507140125,4.7e-05,m
202507140130,5.1e-05,m
202507140135,5.5e-05,m
202507140140,5.9e-05,m
202507140145,6.4e-05,m
202507140150,6.8e-05,m
202507140155,7.2e-05,m
202507140200,7.6e-05,m
202507140205,8.4e-05,m
202507140210,9.2e-05,m
202507140215,0.0001,m
202507140220,0.000109,m
202507140225,0.000117,m
202507140230,0.000125,m
202507140235,0.000133,m
202507140240,0.000142,m
202507140245,0.00015,m
202507140250,0.000158,m
202507140255,0.000166,m
202507140300,0.000174,m
202507140305,0.000278,m
202507140310,0.000381,m
202507140315,0.000484,m
202507140320,0.000587,m
202507140325,0.00069,m
202507140330,0.000793,m
202507140335,0.000896,m
202507140340,0.000999,m
202507140345,0.001103,m
202507140350,0.001206,m
202507140355,0.001309,m
202507140400,0.001412,m
202507140405,0.001423,m
202507140410,0.001434,m
202507140415,0.001445,m
202507140420,0.001455,m
202507140425,0.001466,m
202507140430,0.001477,m
202507140435,0.001488,m
202507140440,0.001499,m
202507140445,0.00151,m
202507140450,0.00152,m
202507140455,0.001531,m
202507140500,0.001542,m
202507140505,0.001548,m
202507140510,0.001553,m
202507140515,0.001559,m
202507140520,0.001564,m
202507140525,0.00157,m
202507140530,0.001575,m
202507140535,0.001581,m
202507140540,0.001586,m
202507140545,0.001592,m
202507140550,0.001597,m
202507140555,0.001603,m
202507140600,0.001608,m
202507140605,0.001625,m
202507140610,0.001641,m
202507140615,0.001658,m
202507140620,0.001675,m
202507140625,0.001691,m
202507140630,0.001708,m
202507140635,0.001725,m
202507140640,0.001741,m
202507140645,0.001758,m
202507140650,0.001775,m
202507140655,0.001791,m
202507140700,0.001808,m
202507140705,0.001815,m
202507140710,0.001822,m
202507140715,0.001828,m
202507140720,0.001835,m
202507140725,0.001842,m
202507140730,0.001849,m
202507140735,0.001855,m
202507140740,0.001862,m
202507140745,0.001869,m
202507140750,0.001876,m
202507140755,0.001883,m
202507140800,0.001889,m
202507140805,0.001891,m
202507140810,0.001893,m
202507140815,0.001895,m
202507140820,0.001897,m
202507140825,0.001899,m
202507140830,0.001901,m
202507140835,0.001903,m
202507140840,0.001905,m
202507140845,0.001907,m
202507140850,0.001908,m
202507140855,0.00191,m
202507140900,0.001912,m
202507140905,0.001939,m
202507140910,0.001966,m
202507140915,0.001993,m`
202507140920,0.00202,m
202507140925,0.002047,m
202507140930,0.002074,m
202507140935,0.002101,m
202507140940,0.002127,m
202507140945,0.002154,m
202507140950,0.002181,m
202507140955,0.002208,m
202507141000,0.002235,m
